ID,year,week,start.date,end.date,district,cases
1,2006,52,2006-12-23,2006-12-29,Colombo,71
2,2006,52,2006-12-23,2006-12-29,Gampaha,12
3,2006,52,2006-12-23,2006-12-29,Kalutara,12
4,2006,52,2006-12-23,2006-12-29,Kandy,20
5,2006,52,2006-12-23,2006-12-29,Matale,4
6,2006,52,2006-12-23,2006-12-29,NuwaraEliya,1
7,2006,52,2006-12-23,2006-12-29,Galle,1
8,2006,52,2006-12-23,2006-12-29,Hambanthota,1
9,2006,52,2006-12-23,2006-12-29,Matara,11
10,2006,52,2006-12-23,2006-12-29,Jaffna,0
11,2006,52,2006-12-23,2006-12-29,Kilinochchi,0
12,2006,52,2006-12-23,2006-12-29,Mannar,0
13,2006,52,2006-12-23,2006-12-29,Vavuniya,3
14,2006,52,2006-12-23,2006-12-29,Mullaitivu,0
15,2006,52,2006-12-23,2006-12-29,Batticaloa,0
16,2006,52,2006-12-23,2006-12-29,Ampara,0
17,2006,52,2006-12-23,2006-12-29,Trincomalee,0
18,2006,52,2006-12-23,2006-12-29,Kurunegala,16
19,2006,52,2006-12-23,2006-12-29,Puttalam,6
20,2006,52,2006-12-23,2006-12-29,Anuradhapura,4
21,2006,52,2006-12-23,2006-12-29,Polonnaruwa,1
22,2006,52,2006-12-23,2006-12-29,Badulla,2
23,2006,52,2006-12-23,2006-12-29,Monaragala,0
24,2006,52,2006-12-23,2006-12-29,Ratnapura,1
25,2006,52,2006-12-23,2006-12-29,Kegalle,1
26,2006,52,2006-12-23,2006-12-29,Kalmune,0
27,2007,1,2006-12-30,2007-01-05,Colombo,40
28,2007,1,2006-12-30,2007-01-05,Gampaha,11
29,2007,1,2006-12-30,2007-01-05,Kalutara,20
30,2007,1,2006-12-30,2007-01-05,Kandy,41
31,2007,1,2006-12-30,2007-01-05,Matale,2
32,2007,1,2006-12-30,2007-01-05,NuwaraEliya,4
33,2007,1,2006-12-30,2007-01-05,Galle,10
34,2007,1,2006-12-30,2007-01-05,Hambanthota,1
35,2007,1,2006-12-30,2007-01-05,Matara,8
36,2007,1,2006-12-30,2007-01-05,Jaffna,0
37,2007,1,2006-12-30,2007-01-05,Kilinochchi,0
38,2007,1,2006-12-30,2007-01-05,Mannar,2
39,2007,1,2006-12-30,2007-01-05,Vavuniya,3
40,2007,1,2006-12-30,2007-01-05,Mullaitivu,0
41,2007,1,2006-12-30,2007-01-05,Batticaloa,0
42,2007,1,2006-12-30,2007-01-05,Ampara,0
43,2007,1,2006-12-30,2007-01-05,Trincomalee,2
44,2007,1,2006-12-30,2007-01-05,Kurunegala,11
45,2007,1,2006-12-30,2007-01-05,Puttalam,13
46,2007,1,2006-12-30,2007-01-05,Anuradhapura,0
47,2007,1,2006-12-30,2007-01-05,Polonnaruwa,4
48,2007,1,2006-12-30,2007-01-05,Badulla,0
49,2007,1,2006-12-30,2007-01-05,Monaragala,0
50,2007,1,2006-12-30,2007-01-05,Ratnapura,5
51,2007,1,2006-12-30,2007-01-05,Kegalle,4
52,2007,1,2006-12-30,2007-01-05,Kalmune,0
53,2007,2,2007-01-06,2007-01-12,Colombo,43
54,2007,2,2007-01-06,2007-01-12,Gampaha,13
55,2007,2,2007-01-06,2007-01-12,Kalutara,7
56,2007,2,2007-01-06,2007-01-12,Kandy,28
57,2007,2,2007-01-06,2007-01-12,Matale,7
58,2007,2,2007-01-06,2007-01-12,NuwaraEliya,2
59,2007,2,2007-01-06,2007-01-12,Galle,4
60,2007,2,2007-01-06,2007-01-12,Hambanthota,2
61,2007,2,2007-01-06,2007-01-12,Matara,8
62,2007,2,2007-01-06,2007-01-12,Jaffna,0
63,2007,2,2007-01-06,2007-01-12,Kilinochchi,0
64,2007,2,2007-01-06,2007-01-12,Mannar,0
65,2007,2,2007-01-06,2007-01-12,Vavuniya,0
66,2007,2,2007-01-06,2007-01-12,Mullaitivu,0
67,2007,2,2007-01-06,2007-01-12,Batticaloa,0
68,2007,2,2007-01-06,2007-01-12,Ampara,0
69,2007,2,2007-01-06,2007-01-12,Trincomalee,1
70,2007,2,2007-01-06,2007-01-12,Kurunegala,17
71,2007,2,2007-01-06,2007-01-12,Puttalam,9
72,2007,2,2007-01-06,2007-01-12,Anuradhapura,0
73,2007,2,2007-01-06,2007-01-12,Polonnaruwa,0
74,2007,2,2007-01-06,2007-01-12,Badulla,2
75,2007,2,2007-01-06,2007-01-12,Monaragala,1
76,2007,2,2007-01-06,2007-01-12,Ratnapura,3
77,2007,2,2007-01-06,2007-01-12,Kegalle,16
78,2007,2,2007-01-06,2007-01-12,Kalmune,0
79,2007,3,2007-01-13,2007-01-19,Colombo,38
80,2007,3,2007-01-13,2007-01-19,Gampaha,16
81,2007,3,2007-01-13,2007-01-19,Kalutara,6
82,2007,3,2007-01-13,2007-01-19,Kandy,14
83,2007,3,2007-01-13,2007-01-19,Matale,7
84,2007,3,2007-01-13,2007-01-19,NuwaraEliya,2
85,2007,3,2007-01-13,2007-01-19,Galle,4
86,2007,3,2007-01-13,2007-01-19,Hambanthota,1
87,2007,3,2007-01-13,2007-01-19,Matara,4
88,2007,3,2007-01-13,2007-01-19,Jaffna,0
89,2007,3,2007-01-13,2007-01-19,Kilinochchi,0
90,2007,3,2007-01-13,2007-01-19,Mannar,2
91,2007,3,2007-01-13,2007-01-19,Vavuniya,0
92,2007,3,2007-01-13,2007-01-19,Mullaitivu,0
93,2007,3,2007-01-13,2007-01-19,Batticaloa,0
94,2007,3,2007-01-13,2007-01-19,Ampara,0
95,2007,3,2007-01-13,2007-01-19,Trincomalee,2
96,2007,3,2007-01-13,2007-01-19,Kurunegala,10
97,2007,3,2007-01-13,2007-01-19,Puttalam,11
98,2007,3,2007-01-13,2007-01-19,Anuradhapura,0
99,2007,3,2007-01-13,2007-01-19,Polonnaruwa,2
100,2007,3,2007-01-13,2007-01-19,Badulla,2
101,2007,3,2007-01-13,2007-01-19,Monaragala,1
102,2007,3,2007-01-13,2007-01-19,Ratnapura,2
103,2007,3,2007-01-13,2007-01-19,Kegalle,7
104,2007,3,2007-01-13,2007-01-19,Kalmune,0
105,2007,4,2007-01-20,2007-01-26,Colombo,52
106,2007,4,2007-01-20,2007-01-26,Gampaha,12
107,2007,4,2007-01-20,2007-01-26,Kalutara,15
108,2007,4,2007-01-20,2007-01-26,Kandy,17
109,2007,4,2007-01-20,2007-01-26,Matale,4
110,2007,4,2007-01-20,2007-01-26,NuwaraEliya,3
111,2007,4,2007-01-20,2007-01-26,Galle,3
112,2007,4,2007-01-20,2007-01-26,Hambanthota,1
113,2007,4,2007-01-20,2007-01-26,Matara,4
114,2007,4,2007-01-20,2007-01-26,Jaffna,0
115,2007,4,2007-01-20,2007-01-26,Kilinochchi,0
116,2007,4,2007-01-20,2007-01-26,Mannar,0
117,2007,4,2007-01-20,2007-01-26,Vavuniya,2
118,2007,4,2007-01-20,2007-01-26,Mullaitivu,0
119,2007,4,2007-01-20,2007-01-26,Batticaloa,0
120,2007,4,2007-01-20,2007-01-26,Ampara,0
121,2007,4,2007-01-20,2007-01-26,Trincomalee,2
122,2007,4,2007-01-20,2007-01-26,Kurunegala,6
123,2007,4,2007-01-20,2007-01-26,Puttalam,8
124,2007,4,2007-01-20,2007-01-26,Anuradhapura,2
125,2007,4,2007-01-20,2007-01-26,Polonnaruwa,2
126,2007,4,2007-01-20,2007-01-26,Badulla,1
127,2007,4,2007-01-20,2007-01-26,Monaragala,3
128,2007,4,2007-01-20,2007-01-26,Ratnapura,2
129,2007,4,2007-01-20,2007-01-26,Kegalle,5
130,2007,4,2007-01-20,2007-01-26,Kalmune,0
131,2007,5,2007-01-27,2007-02-02,Colombo,69
132,2007,5,2007-01-27,2007-02-02,Gampaha,12
133,2007,5,2007-01-27,2007-02-02,Kalutara,12
134,2007,5,2007-01-27,2007-02-02,Kandy,16
135,2007,5,2007-01-27,2007-02-02,Matale,4
136,2007,5,2007-01-27,2007-02-02,NuwaraEliya,1
137,2007,5,2007-01-27,2007-02-02,Galle,4
138,2007,5,2007-01-27,2007-02-02,Hambanthota,1
139,2007,5,2007-01-27,2007-02-02,Matara,6
140,2007,5,2007-01-27,2007-02-02,Jaffna,0
141,2007,5,2007-01-27,2007-02-02,Kilinochchi,0
142,2007,5,2007-01-27,2007-02-02,Mannar,0
143,2007,5,2007-01-27,2007-02-02,Vavuniya,0
